2023-02-04 08:26:22,859: Fetching Zamorak Stats for Group Size = 5
2023-02-04 08:37:11,755: Total Teams: 642
2023-02-04 08:37:11,755: Total Unique Players: 1086
+--------------+-------+----------------+
|     Name     | Count | Highest Enrage |
|    P U P     |   3   |      2000      |
|     Kwin     |   3   |      2000      |
|  Yae Mikowo  |   3   |      1310      |
|    Eldar     |   3   |      1310      |
|  so idiotic  |   3   |      1090      |
|  Wadge Man   |   3   |      1000      |
|     HIVR     |   3   |      1000      |
|    Bawker    |   3   |      1000      |
| Team Tukker  |   3   |      1000      |
|  Mirakuruuu  |   3   |      1000      |
|     Diep     |   3   |      850       |
|   ggurran    |   3   |      720       |
| Uranium Atom |   3   |      630       |
| Alpha Check  |   3   |      600       |
|   Vorawgo    |   3   |      600       |
|  Kim Wilde   |   3   |      570       |
|    Maeel     |   3   |      570       |
|     duwu     |   3   |      550       |
| Smack My Ass |   3   |      530       |
|      zm      |   3   |      530       |
|   Smutter    |   3   |      501       |
|    Vijal     |   3   |      500       |
|    latina    |   3   |      500       |
|     rago     |   3   |      500       |
|    loftt     |   3   |      500       |
|  Lithesome   |   3   |      500       |
|    Jharsh    |   3   |      500       |
| Messy Cheeze |   3   |      500       |
|   Nasayaa    |   3   |      500       |
|    C o S     |   3   |      500       |
|    Rye in    |   3   |      500       |
|    payout    |   3   |      500       |
|    lusea     |   3   |      500       |
|    Gerni     |   3   |      500       |
|   Wazzapy    |   3   |      500       |
|   Spud2032   |   3   |      500       |
|    Kiekrz    |   3   |      500       |
| Patryk11761  |   3   |      500       |
|   Lexic0n    |   3   |      500       |
|    3nqash    |   3   |      500       |
|    2 L T     |   3   |      500       |
|    Nawaf     |   3   |      500       |
|  Souless911  |   3   |      500       |
|  Mr Dragon   |   3   |      500       |
|  Sad Wo lf   |   3   |      500       |
|   Usa1311    |   3   |      500       |
|   Doc Tod    |   3   |      500       |
| Bruzzer Mini |   3   |      500       |
|    Giguh     |   3   |      450       |
|   s v e n    |   3   |      420       |
|    1ndian    |   3   |      400       |
| SunnyBadBoy  |   3   |      400       |
|  Saiten 118  |   3   |      350       |
|   Gerblore   |   3   |      350       |
|   RsDiddy    |   3   |      300       |
|   te mamo    |   3   |      300       |
|    JiiPee    |   3   |      250       |
|    Vouti     |   3   |      250       |
|  Rahkatykki  |   3   |      250       |
|   Schrimpi   |   3   |      250       |
|    Koori     |   3   |      250       |
|    Daniii    |   3   |      250       |
| PseudoScotty |   3   |      250       |
|   Dakitten   |   3   |      222       |
|   lil gym    |   3   |      210       |
| Back2Office  |   3   |      210       |
|  Falcon142   |   3   |      210       |
| Enormous Rod |   3   |      210       |
|   Fist in    |   3   |      210       |
|    Ace D     |   3   |      200       |
| Witherhoard  |   3   |      200       |
|  A big pleb  |   3   |      200       |
| Mia Colucci  |   3   |      200       |
|  TealTomato  |   3   |      200       |
|  Frugal Wiz  |   3   |      200       |
|   Shereen    |   3   |      200       |
|  revo rowan  |   3   |      180       |
|  Immortino   |   3   |      170       |
| 7th dps pile |   3   |      170       |
| Ghotic Fish  |   3   |      130       |
| Onlinevirus  |   3   |      110       |
|   Ztheart    |   3   |      110       |
| Jandlaas247  |   3   |      110       |
|  Glory Arc   |   3   |      100       |
|   Gramr98    |   3   |      100       |
|  Holzkiste   |   3   |      100       |
|    Rhyzm     |   3   |      100       |
| shut up dumb |   3   |      100       |
|  dreamiest   |   3   |      100       |
|     Ooky     |   3   |      100       |
|   nessyboo   |   3   |      100       |
|    AB ED     |   2   |      7510      |
| Hero0fLight  |   2   |      7510      |
|   Az Liam    |   2   |      4000      |
|   Wiz Tot    |   2   |      4000      |
|   disney4    |   2   |      2000      |
|  Big Dummy   |   2   |      2000      |
|   geherman   |   2   |      1600      |
|    Akaro     |   2   |      1310      |
|   Zhongli    |   2   |      1310      |
|  so pretty   |   2   |      1090      |
| LiesAndTears |   2   |      1010      |
|   J oseph    |   2   |      1000      |
|    saiful    |   2   |      1000      |
|  Jermaine24  |   2   |      760       |
|    Theump    |   2   |      650       |
| Trimmed Req  |   2   |      600       |
|   Dethium    |   2   |      600       |
|   Trentkal   |   2   |      570       |
|  Shikamaru   |   2   |      501       |
|    Ankles    |   2   |      501       |
|   Provoke    |   2   |      501       |
| GreenCorner  |   2   |      500       |
| Farmsnake32  |   2   |      500       |
|    jordy     |   2   |      500       |
| bitterbetty6 |   2   |      500       |
|     wah      |   2   |      500       |
|  Lunaticus   |   2   |      500       |
|    mccree    |   2   |      500       |
|    Gettle    |   2   |      500       |
|  Ice Habibi  |   2   |      500       |
|  Icy Prison  |   2   |      500       |
|  Last-twist  |   2   |      500       |
|  PinkRoses   |   2   |      500       |
|     Kowi     |   2   |      500       |
|   CalledIt   |   2   |      500       |
|   Glooping   |   2   |      500       |
|  Mr Legendz  |   2   |      500       |
|  Nitharsan   |   2   |      500       |
|    Kyaki     |   2   |      500       |
|    xellay    |   2   |      500       |
|  RautaRaita  |   2   |      500       |
|  Just Kevin  |   2   |      500       |
|     Imp      |   2   |      500       |
|     lexa     |   2   |      500       |
|    Hanayk    |   2   |      500       |
|  i cba ffs   |   2   |      500       |
|  Sirpaul24   |   2   |      500       |
| TimeToMoveOn |   2   |      500       |
|  Pvm Pengu   |   2   |      500       |
|     Zift     |   2   |      500       |
|  xTENTACI0N  |   2   |      500       |
|    Rehan     |   2   |      500       |
|  Iron Miraa  |   2   |      500       |
|     Spo      |   2   |      500       |
|  WhiteTiger  |   2   |      500       |
| Famous Drops |   2   |      500       |
|    Sc er     |   2   |      500       |
