2023-02-04 13:00:04,764: Total Unique Players: 8447
+--------------+-------+----------------+
|     Name     | Count | Highest Enrage |
|     la i     |   27  |      1020      |
|  Wolffpoke   |   27  |      550       |
|   feeding    |   27  |      500       |
| Fly Frog Fly |   27  |      430       |
|   Catimor    |   27  |      1000      |
| Cbf Recompin |   27  |      2000      |
| Cherryloveee |   27  |      1070      |
|   Succeed    |   26  |      2000      |
|  DumbNasty   |   26  |      200       |
|   Perfecto   |   26  |      500       |
|  Derp Daddy  |   26  |      1000      |
| Barrows rots |   26  |      4000      |
|     ar c     |   26  |      4040      |
|  Zuk Hugga   |   26  |      2000      |
|    35 ant    |   26  |      2000      |
|  Kipburger   |   26  |      501       |
|  Octillion   |   26  |      500       |
|     mgls     |   26  |      1000      |
|   Sontoty    |   26  |      1000      |
|    Splen     |   26  |      2000      |
|   GPerico    |   26  |      1000      |
|   datwho92   |   26  |      6969      |
|    Garin     |   26  |      4000      |
| Messy Cheeze |   26  |      2000      |
| Shadow D Ace |   26  |      4000      |
|   zapyzapy   |   26  |      1000      |
|    GonJaa    |   26  |      1000      |
|  Iron Miraa  |   26  |      2000      |
| rsn nurdawg  |   26  |      890       |
|    Gettle    |   26  |      530       |
|    Verlu     |   26  |      790       |
|     Ooky     |   26  |      510       |
|   CastieI    |   26  |      200       |
|  God Serena  |   26  |      2000      |
|   Yelpsie    |   26  |      500       |
|   Az Liam    |   26  |      5000      |
|   Flamewan   |   26  |      2000      |
|    Huddon    |   26  |      510       |
|  SaintPownd  |   25  |      1000      |
|  Mini Lenn   |   25  |      5340      |
|   Sidonha    |   25  |      740       |
|  MagoBurro   |   25  |      500       |
| Deso do PIX  |   25  |      570       |
| Jumping Jack |   25  |      2010      |
| Coach Pesto  |   25  |      920       |
|     Deni     |   25  |      2501      |
|    Washly    |   25  |      4090      |
|  Ty For Tip  |   25  |      750       |
| stiffingers  |   25  |      4000      |
| Enormous Rod |   25  |      590       |
|   BethNomz   |   25  |      430       |
|     Coln     |   25  |      320       |
|     E T      |   25  |      1000      |
|    Lazko     |   25  |      600       |
|  Sad Wo lf   |   25  |      640       |
| Kaiyser Soze |   25  |      4420      |
| zig zag more |   25  |      2000      |
|    xellay    |   25  |      520       |
|     Ri q     |   24  |      519       |
|     Aht      |   24  |      570       |
|   Shavar50   |   24  |      560       |
| BEER IN SLOT |   24  |      1010      |
| Qc Brichkof  |   24  |      2000      |
|     Zato     |   24  |      4000      |
|  knickerles  |   24  |      500       |
|   Pulling    |   24  |      7650      |
|    JiiPee    |   24  |      4000      |
|     Roi      |   24  |      4000      |
|  Marco Reu5  |   24  |      2000      |
|    sized     |   24  |      1000      |
|    Cri m     |   24  |      1000      |
|   Eki Boss   |   24  |      750       |
|   Leendert   |   24  |      4010      |
|  Sazandora   |   24  |      500       |
| unntrimmedhp |   24  |      500       |
|    Rhyzm     |   24  |      540       |
